kcet,college
99.84,"College of Engineering, Pune"
99.43,"Pune Institute of Computer Technology, Dhankavdi, Pune"
99.17,"Walchand College of Engineering, Sangli"
99.12,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune"
94.59,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune"
95.76,"International Institute of Information Technology , Pune."
98.91,"Shri Ramdeobaba College of Engineering and Management, Nagpur"
98.56,"Government College of Engineering, Aurangabad"
91.4,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai"
92.83,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune"
94.64,"Government College of Engineering, Amravati"
97.55,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune"
91.14,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune"
90.38,"Bharati Vidyapeeth College of Engineering, Navi Mumbai"
97.66,"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai"
90.91,"MIT Academy of Engineering,Alandi, Pune"
94.84,"Laxminarayan Institute of Technology, Nagpur"
94.32,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai"
92.38,"Government College of Engineering & Research, Avasari Khurd"
96.4,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet"
94.22,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded"
94.17,"Thadomal Shahani Engineering College, Bandra, Mumbai"
96.38,"Vidyalankar Institute of Technology,Wadala, Mumbai"
84.63,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune"
96.35,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai"
96.35,"All India Shri Shivaji Memorial Society's College of Engineering, Pune"
90.45,"Sinhgad College of Engineering, Vadgaon (BK), Pune"
96.23,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai"
95.36,"Progressive Education Society's Modern College of Engineering, Pune"
90.58,"Government College of Engineering, Chandrapur"
96.21,"Ramrao Adik Edu Soc, Ramarao Adik Institute of Tech., Navi Mumbai"
95.13,"Government College of Engineering, Jalgaon"
94.96,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune"
95.43,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune"
93.03,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
92.42,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune"
95.05,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai"
82.75,"K. K. Wagh Institute of Engineering Education and Research, Nashik"
92.01,"Modern Education Society's College of Engineering, Pune"
89.65,"University Department of Chemical Technology, Aurangabad"
78.3,"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar"
75.92,"Dr. D. Y. Patil Vidya Pratishthan Society Dr .D. Y. Patil Institute of Engineering & Technology, Pimpri,Pune"
88.33,"Government Engineering College, Yavatmal"
87.34,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli"
89.72,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune"
82.93,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur"
88.05,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune"
92.69,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai"
90.21,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune"
80.73,"Walchand Institute of Technology, Solapur"
85.99,"JSPM'S Jaywantrao Sawant College of Engineering,Pune"
82.77,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur"
85.33,"G.H.Raisoni Academy of Engineering & Technology, Nagpur"
85.05,"St. Francis Institute of Technology,Borivali, Mumbai"
81.98,"D. Y. Patil College of Engineering, Ambi, Talegaon, Maval"
78.51,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune"
80.58,"JSPM Narhe Technical Campus, Pune."
89.45,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon"
82.02,"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering, Nashik"
86.57,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune"
77.49,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"
79.65,"Guru Gobind Singh College of Engineering & Research Centre, Nashik."
87.01,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji."
83.14,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune"
80.73,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)"
83.69,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur"
85.9,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai"
74.8,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli"
80.17,"Sinhagad Institute of Technology, Lonavala"
81.68,"Pune District Education Association's College of Engineering, Pune"
82.39,"Indira College of Engineering & Management, Pune"
84.59,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni"
90.06,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner"
74.56,"Prof. Ram Meghe Institute of Technology & Research, Amravati"
84.81,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune"
71.39,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati"
64.44,"Department of Technology, Shivaji University, Kolhapur"
87.81,"TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune"
82.16,"M.G.M.'s Jawaharlal Nehru Engineering College, Aurangabad"
80.36,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune"
82.33,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai"
77.72,"Dr. D. Y. Patil School OF Engineering, Lohegaon, Pune"
63.13,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"
69.09,"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune"
65.81,"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune"
61.66,"D. Y. Patil Institute of Engineering and Technology, Ambi"
62.41,"NBN Sinhgad Technical Institutes Campus, Pune"
72.34,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik"
64.13,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik"
70.46,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune"
74.47,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli"
82.7,"Smt. Indira Gandhi College of Engineering, Navi Mumbai"
80.45,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai"
85.91,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur"
72.01,"Bharati Vidyapeeth's College of Engineering, Kolhapur"
67.97,"M.S. Bidve Engineering College, Latur"
90.32,"Atharva College of Engineering,Malad(West),Mumbai"
67.28,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur"
87.43,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar."
75.21,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Engineering,Wagholi, Pune"
79.84,"Gramin College of Engineering, Vishnupuri, Nanded"
77.98,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai"
67.36,"Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy, Ambi"
77.54,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai"
72.04,"Pune Vidyarthi Griha's College Of Engineering, Nashik"
77.26,"Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur"
71.13,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur"
73.88,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad"
70.28,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik"
79.52,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik."
72.1,"Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri, Nagpur"
78.36,"Vidyavardhini's College of Engineering and Technology, Vasai"
67.28,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi"
64.94,"Deogiri Institute of Engineering and Management Studies, Aurangabad"
63.4,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur"
75.82,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik"
77.31,"A. P. Shah Institute of Technology, Thane"
71.4,"K. C. E. Societys College of Engineering and Information Technology, Jalgaon"
70.46,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune."
47.47,"P.K. Technical Campus, Pune."
80.58,"Padmabhushan Vasantdada Patil Pratishthans College of Engineering, Sion,Mumbai"
81.05,"CSMSS Chh. Shahu College of Engineering, Aurangabad"
62.08,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg."
76.71,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara"
70.49,"Terna Engineering College, Nerul, Navi Mumbai"
57.01,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik"
75.47,"Mahatma Education Society's Pillai College of Engineering, New Panvel"
75.01,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar"
68.52,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi"
70.02,"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune"
71.54,"Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune"
61.12,"D.Y. Patil College of Engineering and Technology, Kolhapur"
66.75,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune"
75.05,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune."
72.6,"G.M.Vedak Institute of Technology, Tala, Raigad."
64.27,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal"
71.27,"V M Institute of Engineering and Technology, Dongargaon, Nagpur"
71.48,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile"
78.5,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj"
67.53,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon"
81.5,"Universal College of Engineering & Research, Sasewadi"
75.1,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati"
71.46,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon"
78.54,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad"
73.65,Navsahyadri Education Society's Group of Institutions
68.47,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur."
75.47,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik."
75.31,"College of Engineering and Technology ,North Maharashtra Knowledge City, Jalgaon"
81.37,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli"
84.23,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik."
65.92,"I.S.B.& M. School of Technology, Nande Village"
87.6,"Alard Charitable Trust's Alard College of Engineering and Management, Pune"
73.24,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai"
64.68,"G. H. Raisoni College of Engineering and Management, Ahmednagar"
42.88,"Prof Ram Meghe College of Engineering and Management, Badnera"
63.37,"Shri Shivaji Education Society's College of Engineering and Technology, Akola"
58.01,"Peoples Education Society's College of Engineering, Aurangabad"
19.47,"Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune"
76.88,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur"
58.77,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur"
29.81,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala"
65.52,"G. H. Raisoni Institute of Business Management,Jalgaon"
27.15,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,"
28.23,"Fabtech Technical Campus College of Engineering and Research, Sangola"
61.37,"Keystone School of Engineering, Pune"
68.89,"K.D.K. College of Engineering, Nagpur"
78.1,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur"
50.68,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar"
88.09,"Bajaj Institute of Technology, Wardha"
20.67,"Anantrao Pawar College of Engineering & Research, Pune"
40.53,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur"
40.53,"Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering, Mohili-Aghai, Shahpur."
93.21,"Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"
34.1,"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded."
48.13,"Vidya Niketan College of Engineering, Bota Sangamner"
48.13,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal"
48.13,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur"
45.21,"Jaihind College Of Engineering,Kuran"
35.25,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur"
63.16,"Janata Shikshan Prasarak Mandal�s Babasaheb Naik College Of Engineering, Pusad"
23.63,"Godavari Foundation's Godavari College Of Engineering, Jalgaon"
16.27,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik"
59.33,"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur"
22.93,"Adsul's Technical Campus, Chas Dist. Ahmednagar"
13.15,"Yashoda Technical Campus, Wadhe, Satara."
76.01,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur"
30.58,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara"
29.1,"Bapurao Deshmukh College of Engineering, Sevagram"
27.87,"Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad"
78.42,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati"
14.62,"Hi-Tech Institute of Technology, Aurangabad"
36.64,"Sahyadri Valley College of Engineering & Technology, Rajuri, Pune."
19.42,"Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur"
56.27,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli"
18.96,"Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur"
73.57,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali"
93.03,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai"
46.28,"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur"
24.88,"Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)"
48.84,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik"
25.49,"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"
79.41,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR"
70.92,"Sanghavi College of Engineering, Varvandi, Nashik."
12.48,"Ideal Institute of Technology, Wada, Dist.Thane"
56.91,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul), Neminagar,Chandwad,(Nashik)"
59.93,"Konkan Gyanpeeth College of Engineering, Karjat"
20.63,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur"
48.9,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai"
86.37,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai"
54.1,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon."
10.21,"Shree Ramchandra College of Engineering, Lonikand,Pune"
63.33,"P. R. Pote Patil Institute of Engineering & Research, At Kathora, Amravati"
64.46,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai"
29.58,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara"
57.24,"Rajiv Gandhi College of Engineering & Research, Hingna Road, Nagpur"
69.79,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon"
41.58,"Kavi Kulguru Institute of Technology & Science, Ramtek"
46.2,"Aditya Engineering College , Beed"
14.52,"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad � Patil College of Engineering, Nagpur"
72.6,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon"
61.45,"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur"
13.88,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana"
42.62,"International Centre of Excellence in Engineering & Management, Aurangabad."
62.67,"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur"
15.44,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana"
43.76,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane"
21.61,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur."
56.67,"Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji Maharaj College of Engineering, Nepti"
85.16,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal"
42.71,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur"
57.53,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi"
19.05,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur"
85.21,"R. C. Patel Institute of Technology, Shirpur"
46.56,"Sanmati Engineering College, Sawargaon Barde, Washim"
79.51,"Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur"
22.8,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel"
10.15,"Shri.Someshwar Shikshan Prasarak Mandals, Someshwar Engineering College, Someshwar Nagar"
24.99,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur"
26.6,"Nagaon Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule"
14.85,"Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering, Kamshet,Pune."
30.46,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur"
23.69,Rajiv Gandhi College of Engineering Research & Technology Chandrapur
84.19,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad"
17.56,"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur"
49.86,"Shree Yash Pratishthan, Shreeyash College of Engineering and Technology, Aurangabad"
31.78,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)"
21.33,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur"
70.82,"Aurangabad College of Engineering, Naygaon Savangi, Aurangabad"
40.04,"Universal College of Engineering,Kaman Dist. Palghar"
24.49,"Vishwabharati Academy's College of Engineering, Ahmednagar"
62.51,"Anjuman College of Engineering & Technology, Nagpur"
23.32,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima"
13.67,"Sarvasiddhanta Education Soc's Nuva College of Engineering and Technology, Nagpur"
13.67,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar"
53.86,"Dhamangaon Education Society's College of Engineering and Technology, Dhamangaon"
19.48,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon."
32.21,"Dnyanshree Institute Engineering and Technology, Satara"
22.83,"Gramodyogik Shikshan Mandal's Marathwada Institute of Technology, Aurangabad"
25.97,"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna"
66.32,"Nagnathappa Halge Engineering College, Parli, Beed"
62.25,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj"
34.79,"Shri Gulabrao Deokar College of Engineering, Jalgaon"
12.32,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat"
86.31,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)"
17.33,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur"
42.1,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar"
67.48,"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur"
27.45,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
45.54,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur"
65.23,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati"
32.06,"Terna Public Charitable Trust's College of Engineering, Osmanabad"
89.46,"Shri. Vile Parle Kelavani Mandal's Institute of Technology, Dhule"
32.95,"Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions, Kolhapur"
97.92,"Wainganga College of Engineering and Management, Dongargaon, Nagpur"
89.18,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai"
63.14,"Bharat College of Engineering, Kanhor, Badlapur(W)"
29.48,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri"
